title,description,response,data
Problemas com drivers da impressora HP Pro 9020,A minha HP Pro 9020 está bloqueando cartuchos alternativos após a última atualização. Isso é um absurdo! Não quero ser forçado a usar cartuchos originais.,Não Respondida,Há 12 dias
Problemas com drivers da impressora HP Pro 9020,A impressora não imprime mais depois de eu realizar a atualização. Está com uma tela de erro e o suporte não resolveu.,Não Respondida,Há 17 dias
Impressora HP Pro 9020 não reconhece cartuchos alternativos,"O modelo HP 9020 está com problemas após o update de firmware. Agora os cartuchos não são mais reconhecidos, só os originais funcionam.",Respondida,Há 1 dias
HP bloqueia cartuchos alternativos,Minha impressora HP Pro 9020 parou de aceitar cartuchos alternativos após a última atualização de firmware. A impressão parou completamente e não consigo mais usar a impressora.,Respondida,Há 1 dias
Impressora HP Pro 9020 não reconhece cartuchos alternativos,"Após a atualização do firmware, a impressora passou a bloquear cartuchos alternativos e só aceita os cartuchos originais. Isso é um péssimo custo-benefício.",Respondida,Há 8 dias
Impressora HP Pro 9020 não reconhece cartuchos alternativos,"Depois de uma atualização, minha impressora HP Pro 9020 travou completamente e não imprime mais. Ela não sai da tela de erro.",Não Respondida,Há 5 dias
Cartucho HP 63 não reconhecido pela impressora,"Após a atualização do firmware, o cartucho HP 63 não é mais reconhecido na impressora. Acredito que foi uma falha na atualização.",Não Respondida,Há 9 dias
Atualização de firmware bloqueia cartuchos não originais,"A HP bloqueou o uso de cartuchos alternativos com a nova atualização de firmware. Isso é um absurdo, pois eu sempre usei cartuchos compatíveis.",Não Respondida,Há 2 dias
Impressora HP parou de imprimir após atualização,A impressora HP Pro 9020 não conecta mais ao Wi-Fi depois da última atualização. Eu já fiz todos os procedimentos sugeridos pelo suporte e nada funciona.,Não Respondida,Há 19 dias
Cartuchos HP 63 não funcionam mais após atualização,"O modelo HP 9020 está com problemas após o update de firmware. Agora os cartuchos não são mais reconhecidos, só os originais funcionam.",Não Respondida,Há 11 dias
Assistência técnica da HP não resolve problema de impressão,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Respondida,Há 14 dias
Impressora HP não imprime cores após atualização,"Após atualizar o firmware, a minha HP Pro 9020 ficou com problemas e não reconhece mais os cartuchos HP 63. Já tentei várias vezes, mas não há solução.",Respondida,Há 13 dias
Reclamação de não suporte a impressoras compradas no exterior,A assistência da HP não tem dado retorno quanto ao problema de firmware que estou enfrentando. Eles não estão nem tentando ajudar.,Não Respondida,Há 16 dias
Erro de firmware faz impressora HP travar,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Respondida,Há 19 dias
Suporte da HP não resolve problema de cartuchos,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Respondida,Há 3 dias
HP Pro 9020 trava durante impressão,"Entrei em contato com o suporte da HP para resolver o problema com cartuchos incompatíveis, mas eles não deram uma solução efetiva até agora.",Respondida,Há 15 dias
A impressora HP Pro 9020 não conecta ao Wi-Fi,Os cartuchos HP 63 simplesmente não funcionam mais na minha impressora HP Pro 9020 após a atualização do firmware. Preciso de ajuda para resolver esse problema.,Respondida,Há 1 dias
Impressora HP não imprime cores após atualização,"Após a última atualização do firmware, a minha impressora HP parou de imprimir e ficou com o visor travado. Tentei reinstalar o driver e nada funcionou.",Não Respondida,Há 8 dias
HP Pro 9020 não reconhece papel A4,"Desde a última atualização, minha impressora HP Pro 9020 trava durante o processo de impressão e não consegue finalizar nenhuma tarefa.",Respondida,Há 16 dias
Atualização de firmware bloqueia cartuchos não originais,"Depois de uma atualização, minha impressora HP Pro 9020 travou completamente e não imprime mais. Ela não sai da tela de erro.",Não Respondida,Há 19 dias
Reclamação de não suporte a impressoras compradas no exterior,"O modelo HP 9020 está com problemas após o update de firmware. Agora os cartuchos não são mais reconhecidos, só os originais funcionam.",Não Respondida,Há 20 dias
Problemas com drivers da impressora HP Pro 9020,"Entrei em contato com o suporte da HP para resolver o problema com cartuchos incompatíveis, mas eles não deram uma solução efetiva até agora.",Respondida,Há 17 dias
Impressora HP Pro 9020 não reconhece cartuchos alternativos,O suporte da HP não resolveu o problema que estou tendo com a minha impressora. Já fui várias vezes até a assistência e nada foi feito.,Não Respondida,Há 16 dias
Cartucho HP 63 não reconhecido pela impressora,A impressora não imprime mais depois de eu realizar a atualização. Está com uma tela de erro e o suporte não resolveu.,Respondida,Há 5 dias
HP Pro 9020 não reconhece papel A4,"Após a última atualização do firmware, a minha impressora HP parou de imprimir e ficou com o visor travado. Tentei reinstalar o driver e nada funcionou.",Não Respondida,Há 15 dias
HP Pro 9020 não reconhece papel A4,A impressora HP Pro 9020 simplesmente não reconhece o tamanho do papel A4 após o update de firmware. Está dando erro toda vez que tento imprimir.,Não Respondida,Há 19 dias
HP Pro 9020 não reconhece papel A4,"O modelo HP 9020 está com problemas após o update de firmware. Agora os cartuchos não são mais reconhecidos, só os originais funcionam.",Não Respondida,Há 8 dias
Problema com atualização de firmware na impressora HP,Comprei minha impressora HP fora do Brasil e o suporte da empresa aqui se recusa a ajudar com qualquer tipo de problema de firmware.,Respondida,Há 4 dias
A impressora HP Pro 9020 não conecta ao Wi-Fi,O suporte da HP não resolveu o problema que estou tendo com a minha impressora. Já fui várias vezes até a assistência e nada foi feito.,Respondida,Há 4 dias
Impressora HP não imprime cores após atualização,"Comprei uma impressora HP nos EUA e agora, quando precisei de suporte no Brasil, a HP se recusou a atender. Isso é um total desrespeito com o consumidor.",Respondida,Há 7 dias
Assistência técnica da HP não resolve problema de impressão,"Após atualizar o firmware, a minha HP Pro 9020 ficou com problemas e não reconhece mais os cartuchos HP 63. Já tentei várias vezes, mas não há solução.",Respondida,Há 12 dias
HP Pro 9020 não reconhece papel A4,O suporte da HP não resolveu o problema que estou tendo com a minha impressora. Já fui várias vezes até a assistência e nada foi feito.,Não Respondida,Há 2 dias
Erro de firmware faz impressora HP travar,"Desde a última atualização, minha impressora HP Pro 9020 trava durante o processo de impressão e não consegue finalizar nenhuma tarefa.",Respondida,Há 17 dias
Reclamação de não suporte a impressoras compradas no exterior,"Depois de uma atualização, minha impressora HP Pro 9020 travou completamente e não imprime mais. Ela não sai da tela de erro.",Não Respondida,Há 8 dias
Cartuchos HP 63 não funcionam mais após atualização,Os cartuchos HP 63 simplesmente não funcionam mais na minha impressora HP Pro 9020 após a atualização do firmware. Preciso de ajuda para resolver esse problema.,Respondida,Há 1 dias
Suporte da HP não resolve problema de cartuchos,"O modelo HP 9020 está com problemas após o update de firmware. Agora os cartuchos não são mais reconhecidos, só os originais funcionam.",Respondida,Há 7 dias
Assistência técnica da HP não resolve problema de impressão,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Respondida,Há 19 dias
Atualização de firmware bloqueia cartuchos não originais,Os cartuchos HP 63 simplesmente não funcionam mais na minha impressora HP Pro 9020 após a atualização do firmware. Preciso de ajuda para resolver esse problema.,Respondida,Há 19 dias
Problemas com drivers da impressora HP Pro 9020,"Após a atualização do firmware, a impressora passou a bloquear cartuchos alternativos e só aceita os cartuchos originais. Isso é um péssimo custo-benefício.",Não Respondida,Há 9 dias
Cartucho HP 63 não reconhecido pela impressora,"Após a atualização do firmware, o cartucho HP 63 não é mais reconhecido na impressora. Acredito que foi uma falha na atualização.",Respondida,Há 3 dias
